Hostname,Status
172.16.84.1,Online
172.16.84.3,Online
172.16.84.2,Online
172.16.84.40,Online
172.16.84.51,Online
172.16.84.53,Online
172.16.84.54,Online
172.16.84.55,Online
172.16.84.60,Online
172.16.84.61,Online
172.16.84.62,Online
172.16.84.81,Online
172.16.84.82,Online
172.16.84.100,Online
172.16.84.101,Online
172.16.84.5,Offline
172.16.84.6,Offline
172.16.84.4,Offline
172.16.84.7,Offline
172.16.84.9,Offline
172.16.84.10,Offline
172.16.84.8,Offline
172.16.84.11,Offline
172.16.84.13,Offline
172.16.84.15,Offline
172.16.84.14,Offline
172.16.84.18,Offline
172.16.84.17,Offline
172.16.84.12,Offline
172.16.84.16,Offline
172.16.84.20,Offline
172.16.84.19,Offline
172.16.84.21,Offline
172.16.84.22,Offline
172.16.84.23,Offline
172.16.84.24,Offline
172.16.84.25,Offline
172.16.84.26,Offline
172.16.84.27,Offline
172.16.84.29,Offline
172.16.84.32,Offline
172.16.84.28,Offline
172.16.84.34,Offline
172.16.84.31,Offline
172.16.84.33,Offline
172.16.84.35,Offline
172.16.84.36,Offline
172.16.84.30,Offline
172.16.84.38,Offline
172.16.84.37,Offline
172.16.84.39,Offline
172.16.84.41,Offline
172.16.84.43,Offline
172.16.84.44,Offline
172.16.84.46,Offline
172.16.84.45,Offline
172.16.84.42,Offline
172.16.84.47,Offline
172.16.84.48,Offline
172.16.84.50,Offline
172.16.84.49,Offline
172.16.84.52,Offline
172.16.84.57,Offline
172.16.84.58,Offline
172.16.84.63,Offline
172.16.84.56,Offline
172.16.84.59,Offline
172.16.84.65,Offline
172.16.84.64,Offline
172.16.84.66,Offline
172.16.84.68,Offline
172.16.84.67,Offline
172.16.84.69,Offline
172.16.84.72,Offline
172.16.84.71,Offline
172.16.84.70,Offline
172.16.84.73,Offline
172.16.84.75,Offline
172.16.84.77,Offline
172.16.84.76,Offline
172.16.84.78,Offline
172.16.84.79,Offline
172.16.84.74,Offline
172.16.84.80,Offline
172.16.84.83,Offline
172.16.84.84,Offline
172.16.84.86,Offline
172.16.84.85,Offline
172.16.84.89,Offline
172.16.84.87,Offline
172.16.84.91,Offline
172.16.84.88,Offline
172.16.84.90,Offline
172.16.84.93,Offline
172.16.84.92,Offline
172.16.84.95,Offline
172.16.84.96,Offline
172.16.84.94,Offline
172.16.84.99,Offline
172.16.84.98,Offline
172.16.84.102,Offline
172.16.84.107,Offline
172.16.84.103,Offline
172.16.84.104,Offline
172.16.84.97,Offline
172.16.84.105,Offline
172.16.84.106,Offline
172.16.84.109,Offline
172.16.84.108,Offline
172.16.84.110,Offline
172.16.84.111,Offline
172.16.84.112,Offline
172.16.84.114,Offline
172.16.84.118,Offline
172.16.84.113,Offline
172.16.84.119,Offline
172.16.84.115,Offline
172.16.84.122,Offline
172.16.84.120,Offline
172.16.84.116,Offline
172.16.84.117,Offline
172.16.84.121,Offline
172.16.84.125,Offline
172.16.84.123,Offline
172.16.84.124,Offline
172.16.84.127,Offline
172.16.84.126,Offline
172.16.84.128,Offline
172.16.84.130,Offline
172.16.84.131,Offline
172.16.84.129,Offline
172.16.84.133,Offline
172.16.84.134,Offline
172.16.84.132,Offline
172.16.84.135,Offline
172.16.84.136,Offline
172.16.84.137,Offline
172.16.84.138,Offline
172.16.84.139,Offline
172.16.84.140,Offline
172.16.84.142,Offline
172.16.84.141,Offline
172.16.84.144,Offline
172.16.84.143,Offline
172.16.84.147,Offline
172.16.84.146,Offline
172.16.84.145,Offline
172.16.84.149,Offline
172.16.84.148,Offline
172.16.84.150,Offline
172.16.84.152,Offline
172.16.84.155,Offline
172.16.84.151,Offline
172.16.84.153,Offline
172.16.84.156,Offline
172.16.84.154,Offline
172.16.84.157,Offline
172.16.84.159,Offline
172.16.84.158,Offline
172.16.84.160,Offline
172.16.84.162,Offline
172.16.84.161,Offline
172.16.84.166,Offline
172.16.84.163,Offline
